model,teams,clip_id,clip_path,label_path,meta_path,kind,reason,start_sec,end_sec,latency_ms,prompt_tokens,completion_tokens,json_valid,scene_type,visible_score,visible_clock,confidence,error,raw_content
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__001,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__001.json,event,"ratio_re,ior_reh,ior_rec,ratio_rouo,ior_rouh,ior_rouc",8.479,21.479,19141.57,778,43,True,football_match,18,N/A,0.92,,"{
  ""scene_type"": ""football_match"",
  ""visible_score"": ""18"",
  ""visible_clock"": ""N/A"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__002,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__002.json,event,"ior_rouh,ior_rouc",42.819,55.819,1322.11,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__003,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__003.json,event,"ior_rouh,ior_rouc",66.554,79.554,1293.08,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__004,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__004.json,event,"ior_rouh,ior_rouc",99.704,112.704,1283.61,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__005,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__005.json,event,"ior_reh,ior_rec",141.761,154.761,1283.52,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__006,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__006.json,event,"ior_reh,ior_rec",165.853,178.853,1272.66,778,44,True,soccer_match,N/A,N/A,0.95,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""N/A"",
  ""visible_clock"": ""N/A"",
  ""confidence"": 0.95
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__007,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__007.json,event,"ior_rouh,ior_rouc",191.077,204.077,1253.43,778,42,True,足球比赛,暂无比分,暂无时间,0.9,,"{
  ""scene_type"": ""足球比赛"",
  ""visible_score"": ""暂无比分"",
  ""visible_clock"": ""暂无时间"",
  ""confidence"": 0.9
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__008,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__008.json,event,"ior_reh,ior_rec,ior_rouh,ior_rouc",223.244,236.244,1275.18,778,44,True,football_match,1-0,75',0.92,,"{
  ""scene_type"": ""football_match"",
  ""visible_score"": ""1-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__009,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__009.json,event,"ior_reh,ior_rec",255.059,268.059,1293.76,778,45,True,soccer_match,0-0,75',0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75'"",
  ""confidence"": 0.92
}"
Qwen3.5-VL-35B-A3B-4bit-MLX-CRACK,Fortaleza FC x Deportivo Pasto,Fortaleza_FC_x_Deportivo_Pasto__010,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/clips/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.mp4,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/labels/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,/Volumes/990 PRO PCIe 4T/match_plan_dataset_library/04_golden_samples/meta/Fortaleza_FC_x_Deportivo_Pasto/Fortaleza_FC_x_Deportivo_Pasto__010.json,event,"ior_reh,ior_rec",279.327,292.327,1327.82,778,48,True,soccer_match,0-0,75:00,0.92,,"{
  ""scene_type"": ""soccer_match"",
  ""visible_score"": ""0-0"",
  ""visible_clock"": ""75:00"",
  ""confidence"": 0.92
}"
